city,20-Q4,21-Q1,21-Q2,21-Q3,21-Q4,22-Q1,22-Q2,22-Q3,22-Q4,23-Q1,23-Q2,23-Q3,23-Q4
Allston,623700.0,570000.0,829963.6363636364,809082.5,595822.4,561205.8823529412,742095.5757575758,559045.2592592592,530077.7777777778,638611.2222222222,819125.8474576271,1260710.6296296297,1754250.0
Arlington,792365.7142857143,826048.9361702128,825107.7777777778,896186.5972222222,936805.0,1011750.0,1144577.4782608696,951415.5538461539,1056901.9,997971.4285714285,933993.8115942029,1048404.6393442623,1030343.3823529412
Avon,408678.5714285714,454850.0,442866.6666666667,471048.0,466400.0,420875.3846153846,502823.5294117647,521942.1052631579,529933.3333333334,522990.0,537556.25,529714.2857142857,526250.0
Bellingham,375430.0,376533.57352941175,401481.02040816325,453310.820754717,405777.30379746837,450260.71428571426,473761.7868852459,459185.8695652174,447879.46428571426,436199.6904761905,506192.30136986304,539998.625,550410.8235294118
Boston,1418349.5063291139,3312147.3475609757,1683098.4981549815,1221699.7325842697,1422601.644128114,1325720.6848484848,1552958.5411931819,1337245.7130434783,1340997.5135135136,1444269.975088968,1418671.8148148148,1601790.9656992084,1944102.5261845386
Chelsea,449789.5,565454.9743589744,577944.1916666667,561315.0537634408,539484.4838709678,502891.9166666667,550871.7105263158,537562.671641791,633193.9444444445,548360.0,576404.8780487805,556636.1219512195,591281.8181818182
Cohasset,1212782.608695652,1809895.2702702703,1287862.9032258065,1211822.6607142857,1455814.2857142857,1583062.8636363635,1490090.9090909092,1592157.894736842,1289523.8095238095,1363653.8421052631,1883284.875,1543607.142857143,1485000.0
Cumberland,457500.0,541666.6666666666,439119.0,549200.0,668000.0,681562.5,457700.0,761255.7142857143,836499.2857142857,101730.4,996250.0,996666.6666666666,428500.0
Dorchester,765935.8974358974,663655.5533980583,717416.0941704036,688010.2724137931,714348.8672566372,698420.5902439024,677859.6988636364,758399.9848484849,657107.8,725067.0361445784,750143.7474747475,718873.4502369668,764766.6666666666
Dover,1246476.4705882352,1747856.0869565217,1651208.3333333333,1471843.75,1713407.2631578948,1711111.111111111,1700441.1764705882,1825000.0,2135230.5555555555,1640000.0,2052804.65,1941500.0,1238500.0
Dunstable,476125.0,567625.0,656357.1428571428,646882.3529411765,715833.3333333334,793433.8571428572,703888.8888888889,809900.0,739937.5,1030000.0,953016.6666666666,812857.1428571428,958333.3333333334
East Boston,743875.0,625666.6666666666,669242.8571428572,749970.5882352941,795833.3333333334,655833.3333333334,830420.0,717500.0,456975.0,697000.0,727970.5882352941,647725.5087719298,870400.0
East Walpole,641566.6666666666,556780.7692307692,586336.8421052631,772493.9393939395,605923.5294117647,572714.2857142857,750345.0,634681.8181818182,726277.7777777778,656386.6666666666,735350.0,698946.1538461539,618333.3333333334
Foxboro,548478.5714285715,518776.78571428574,579814.2380952381,662091.9047619047,553812.9285714285,662504.3571428572,691018.3673469388,623862.0317460317,548297.9038461539,556498.5714285715,594437.2222222222,671269.0,706511.7647058824
Franklin,520833.3333333333,453200.0,589786.8,602470.0,529444.8979591837,493017.88095238095,649271.0496453901,590320.0769230769,537681.6161616162,467905.5833333333,585960.7603305785,651604.7619047619,616000.0
Holbrook,397579.0303030303,441350.0,390948.7804878049,460800.4259259259,481063.8888888889,431390.1904761905,515328.125,470296.9696969697,469153.125,453942.85714285716,509857.0,480659.25925925927,490042.1052631579
Hyde Park,534255.8823529412,518629.8387096774,624046.6292134832,582898.6506024096,575024.6764705882,554438.6363636364,636417.5833333334,651307.2615384615,580084.6551724138,766297.7045454546,560972.340425532,645718.1818181818,664496.4285714285
Lowell,373460.3015873016,376468.44137931033,480858.51091703057,396339.9462809917,420315.42960288806,406662.26851851854,442420.1857142857,427396.0321543408,429344.5271966527,437357.5767195767,426227.4881516588,465899.8701923077,477058.6941176471
Medfield,782551.724137931,888616.1290322581,824892.6829268293,957900.0,816055.15,853391.3225806452,1025947.9032258064,956786.567164179,915042.8571428572,934266.6666666666,902369.8846153846,1025364.7173913043,866313.3333333334
Medway,497453.3333333333,443875.0,569616.6666666666,580498.3472222222,580641.7659574468,574445.5476190476,659215.1219512195,647370.2711864407,517794.70454545453,612965.5,677162.6304347826,735890.8596491228,712355.25
Millis,483209.9375,534617.5370370371,568202.5084745763,694553.6923076923,702204.0,628342.6666666666,610062.9090909091,595654.7115384615,603348.825,690243.619047619,818964.9047619047,719017.568627451,706271.7222222222
Needham,1291382.3529411764,1347859.6436781608,1265917.5194805195,1373377.1860465116,1361056.6533333333,1622683.4888888889,1557709.7744360901,1561776.2788461538,1306256.0526315789,1375173.4107142857,1460077.2696629213,1623446.2783505155,1480310.3103448276
Needham Heights,1073416.6666666667,988600.0,1390000.0,980083.3333333334,983750.0,1012500.0,1348666.6666666667,1391750.0,1295312.5,1602928.5714285714,1322500.0,1222800.0,1423810.0
Norfolk,517003.28125,614335.0666666667,627248.0117647059,695665.3333333334,715550.5263157894,689640.9333333333,760173.5166666667,756219.5762711865,743760.8461538461,728620.88,672301.44,748564.6724137932,688256.0714285715
North Billerica,381500.0,393875.0,485980.0,618785.7142857143,526500.0,70000.0,622488.8888888889,650316.6666666666,642800.0,722454.5454545454,466400.0,416000.0,688750.0
North Chelmsford,331472.4137931034,316193.53846153844,413252.79591836734,370058.5714285714,391396.7301587302,424721.73913043475,496521.8382352941,479002.2950819672,495762.1212121212,500882.1794871795,478563.829787234,507441.3043478261,598666.6666666666
North Reading,547864.6666666666,591955.9722222222,791622.972972973,783452.4,741955.5844155845,799386.3636363636,733997.8461538461,920852.574074074,691363.9863013698,697089.90625,839149.8979591837,857113.92,682088.6046511628
North Weymouth,644312.5,467171.4285714286,627666.6666666666,634333.3333333334,749600.0,574000.0,756750.0,598500.0,698750.0,718375.0,738000.0,660840.0,660840.0
Plainville,509406.8965517241,352509.67741935485,443476.5090909091,502188.70967741933,445812.8378378378,499858.5862068966,491706.36363636365,440878.2826086957,445722.14285714284,456538.46153846156,538446.4285714285,483134.4827586207,496290.0
Quincy,597914.3265306122,641910.5294117647,627847.1801242236,671638.9555555555,689995.8333333334,730351.724137931,630960.1581027668,644970.585106383,608086.5219298246,624787.4822335026,621690.3515625,617218.5410958905,652122.2121212122
Roxbury,953867.44,799401.9848484849,728061.84,778263.2711864407,690120.3571428572,820034.0625,856131.875,692171.0,694220.8333333334,780078.625,797704.9756097561,938997.4186046511,949912.3636363636
Roxbury Crossing,1192193.6666666667,683750.0,668627.7777777778,388112.5,1423000.0,537000.0,678044.4444444445,1388955.0,875000.0,574666.6666666666,607333.3333333333,640000.0,640000.0
Sharon,602213.75,718514.9122807018,663701.4423076923,705329.3853211009,760671.3529411765,756887.1836734693,895622.2950819673,818640.2023809524,902977.9375,668148.1081081082,836465.5306122449,826310.0,823106.25
South Walpole,670750.0,683333.3333333334,803750.0,667800.0,775000.0,602450.0,874333.3333333334,648500.0,813333.3333333334,664166.6666666667,515000.0,785250.0,785250.0
Wellesley,1660434.9315068494,1652559.6629213484,1917734.6538461538,1811948.322147651,1834857.142857143,1899585.957746479,2142054.5634920634,1907354.0267857143,1935241.6666666667,1812882.6530612244,2051883.6633663366,2037656.4814814816,1693450.0
Westwood,2236338.904761905,1013750.5813953489,1073704.912621359,1254366.3134328357,1155406.1346153845,1148185.5882352942,1337103.2075471699,1355494.3333333333,1155033.282051282,1404390.3243243243,1382574.7419354839,1052594.5945945946,1237937.5
Weymouth,645459.2233009709,460566.4064516129,495861.42410714284,500651.8203125,497667.5753424658,481015.9716312057,547002.7830687831,532579.4880382775,495286.1589403974,515865.43617021275,546334.4507042253,571819.206060606,553707.3529411765
Winthrop,569455.4347826086,607308.5106382979,580557.4418604651,656076.8292682926,593100.0,610161.9047619047,599042.6617647059,689118.4242424242,549390.1960784313,602464.5161290322,654323.2040816327,638354.4905660377,573241.25
Wrentham,513672.97297297296,496339.375,539672.2727272727,597214.373493976,581534.551724138,533748.7931034482,698558.9534883721,657851.1632653062,676451.9230769231,561352.9411764706,681173.3414634146,720995.3870967742,670342.1052631579
